"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Mental Health","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_mhlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","34007605300","NJ","34007605300","=""34007605300""","18.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007605400","NJ","34007605400","=""34007605400""","16.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007605602","NJ","34007605602","=""34007605602""","15.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007605700","NJ","34007605700","=""34007605700""","14.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007605800","NJ","34007605800","=""34007605800""","13.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007605900","NJ","34007605900","=""34007605900""","13.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606000","NJ","34007606000","=""34007606000""","13.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606100","NJ","34007606100","=""34007606100""","11.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606200","NJ","34007606200","=""34007606200""","11.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606300","NJ","34007606300","=""34007606300""","11.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606400","NJ","34007606400","=""34007606400""","10.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606500","NJ","34007606500","=""34007606500""","15.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606600","NJ","34007606600","=""34007606600""","14.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606700","NJ","34007606700","=""34007606700""","15.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007606800","NJ","34007606800","=""34007606800""","15.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607000","NJ","34007607000","=""34007607000""","18.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607100","NJ","34007607100","=""34007607100""","16.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607200","NJ","34007607200","=""34007607200""","16.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607300","NJ","34007607300","=""34007607300""","16.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607401","NJ","34007607401","=""34007607401""","16.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607402","NJ","34007607402","=""34007607402""","14.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607502","NJ","34007607502","=""34007607502""","11.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607503","NJ","34007607503","=""34007607503""","12.9","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607504","NJ","34007607504","=""34007607504""","11.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607505","NJ","34007607505","=""34007607505""","12.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607506","NJ","34007607506","=""34007607506""","13.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607507","NJ","34007607507","=""34007607507""","14.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607600","NJ","34007607600","=""34007607600""","15.1","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607701","NJ","34007607701","=""34007607701""","20.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607702","NJ","34007607702","=""34007607702""","17.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607801","NJ","34007607801","=""34007607801""","17.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607802","NJ","34007607802","=""34007607802""","18.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007607900","NJ","34007607900","=""34007607900""","15.1","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608001","NJ","34007608001","=""34007608001""","16.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608202","NJ","34007608202","=""34007608202""","14.9","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608205","NJ","34007608205","=""34007608205""","14.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608206","NJ","34007608206","=""34007608206""","15.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608209","NJ","34007608209","=""34007608209""","16.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608210","NJ","34007608210","=""34007608210""","20.1","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608211","NJ","34007608211","=""34007608211""","15.1","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608302","NJ","34007608302","=""34007608302""","16.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608303","NJ","34007608303","=""34007608303""","18.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
