Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,Pop_16yrs_Over,Labor_16Plus,Employed_16Plus,Unemployed_16Plus,Not_Labor_16Plus,Pop_25Plus,Less_HS_25Plus,HS_Grads_25Plus,Some_College_25Plus,Bachelors_25Plus,Masters_25Plus,Avg_Fam_Inc,Households,Housholds_Public_AssistInc,Housholds_No_Public_Assist,Housholds_Retire_Inc,Housholds_No_Retir_Inc,Total,Total_No_Health_Ins,Total_With_Health_Ins,Pop_25_34,Pop_25_34_No_Health_Ins,Pop_25_34_With_Health_Ins,Pop_65Plus,Pop_65Plus_No_Health_Ins,Pop_65Plus_With_Health_Ins
607505,3146,2119,2003,60,1027,2714,130,519,371,858,395,229165.1182,1415,0,1415,406,1009,3762,156,3606,145,25,120,847,11,836
607506,2785,1902,1726,176,883,2213,89,337,555,749,419,129945.8924,1419,22,1397,163,1256,3275,154,3121,534,7,527,284,29,255
607507,5661,4041,3664,274,1620,4907,392,1271,919,1398,759,111901.8491,3540,0,3540,518,3022,6725,680,6045,1451,197,1254,869,0,869
607600,1809,1008,908,86,801,1586,116,621,431,276,112,133771.6918,782,0,782,267,515,2264,177,2087,178,11,167,470,12,458
607701,5537,3234,3087,147,2303,4696,984,2245,973,376,73,66160.40516,2849,66,2783,414,2435,7125,1766,5359,956,445,511,1000,0,1000
607702,4244,3074,2949,125,1170,3780,736,1231,830,729,142,92572.73535,2099,0,2099,357,1742,5080,980,4100,712,43,669,594,0,594
607801,5097,3900,3863,37,1197,4695,309,1993,1405,707,224,78351.86656,3198,8,3190,665,2533,6720,621,6099,1260,329,931,923,0,923
607802,1847,1277,1185,92,570,1685,302,570,527,196,77,84907.66823,881,46,835,259,622,2412,257,2155,302,121,181,400,5,395
607900,1629,1111,1056,50,518,1299,73,324,398,340,110,152450.1109,680,13,667,186,494,1999,68,1931,232,8,224,259,26,233
608001,2843,1916,1815,101,927,2623,276,870,629,598,220,122024.1636,1390,29,1361,254,1136,3341,234,3107,652,41,611,392,0,392
608202,3047,2083,2057,26,964,2770,59,692,1100,595,249,124663.4545,1504,9,1495,393,1111,3748,298,3450,452,140,312,642,0,642
608205,3444,2445,2330,99,999,2937,290,679,724,869,324,141471.2798,1588,77,1511,421,1167,4440,97,4343,372,43,329,819,0,819
608206,3121,2298,1913,357,823,2628,154,963,809,522,121,135094.8744,1273,144,1129,328,945,3633,167,3466,322,14,308,536,0,536
608209,2702,1459,1316,143,1243,2590,86,781,762,700,249,129197.7778,1410,37,1373,485,925,2999,37,2962,350,19,331,997,0,997
608210,2795,1975,1920,51,820,2273,241,599,805,451,117,89062.52567,1681,18,1663,311,1370,3963,354,3609,483,102,381,448,0,448
608211,4300,2822,2659,163,1478,3936,275,1054,1096,945,424,103136.4521,2319,44,2275,553,1766,5566,157,5409,990,100,890,759,16,743
608302,4601,3064,2767,288,1537,3956,267,1947,779,649,278,108918.928,2168,58,2110,497,1671,5301,212,5089,808,162,646,860,0,860
608303,2444,1640,1519,121,804,1958,121,827,701,230,50,92320.54484,1062,27,1035,324,738,2998,235,2763,215,65,150,515,0,515
608304,5934,3956,3690,249,1978,5287,297,1586,1689,1298,340,107492.7409,2899,35,2864,773,2126,7044,401,6643,1072,36,1036,1300,0,1300
608401,2987,2233,2114,119,754,2435,152,881,607,587,137,117393.8,1212,18,1194,290,922,3774,168,3606,459,20,439,475,0,475
608402,3327,2117,2047,70,1210,2657,194,752,651,839,197,148397.5052,1342,9,1333,409,933,3902,137,3765,325,6,319,593,0,593
608403,5406,4049,3726,323,1357,4454,186,1398,1205,1134,350,165998.0512,1981,128,1853,349,1632,6790,233,6557,752,38,714,465,0,465
608404,5471,4103,3895,208,1368,4777,230,1121,1518,1071,455,130826.6809,2565,39,2526,1002,1563,7190,288,6902,859,44,815,1244,0,1244
608503,1987,1415,1264,151,572,1688,123,501,603,304,112,144611.8443,1152,78,1074,234,918,2595,81,2514,270,13,257,332,0,332
608504,3028,2229,2103,126,799,2647,218,900,940,384,69,98623.44828,1745,0,1745,265,1480,3805,239,3566,737,166,571,435,0,435
608600,4300,3006,2877,129,1294,3889,455,1655,1101,555,113,106798.6871,2268,62,2206,315,1953,5312,477,4835,883,163,720,923,0,923
608700,6183,4119,4043,76,2064,5092,306,1409,1671,1327,305,138373.4901,2835,101,2734,651,2184,7412,261,7151,835,27,808,1094,0,1094
608800,4964,3499,3405,94,1465,4414,473,1640,1218,872,155,124752.0275,2266,50,2216,733,1533,5881,875,5006,914,280,634,1244,37,1207
608901,4770,3156,2930,226,1614,4342,529,1876,1114,654,133,127194.1439,2159,128,2031,448,1711,5643,267,5376,847,0,847,854,0,854
608903,2560,1739,1606,133,821,2195,125,867,587,417,181,123499.5261,1028,0,1028,286,742,2802,178,2624,361,49,312,711,0,711
608904,1648,1144,1109,35,504,1439,125,481,525,186,69,146989.2532,638,52,586,227,411,1963,17,1946,26,0,26,274,0,274
609000,1196,750,702,48,446,1075,162,353,393,144,20,105070.915,487,30,457,166,321,1384,107,1277,156,27,129,243,3,240
609103,4735,3300,3190,110,1435,4311,620,1114,1113,1051,372,111671.7883,2215,31,2184,516,1699,5580,171,5409,844,28,816,932,0,932
609201,4180,2995,2727,268,1185,3519,166,918,1406,673,323,97213.60053,2018,80,1938,511,1507,5308,298,5010,1016,65,951,510,0,510
609202,3785,2255,2010,245,1530,3366,368,1116,1020,545,270,98638.94653,1811,9,1802,550,1261,4902,283,4619,610,69,541,810,0,810
609204,2801,1862,1598,264,939,2265,320,574,1079,125,153,75911.16334,1282,54,1228,284,998,4092,515,3577,484,88,396,506,0,506
609205,4865,3123,2941,156,1742,4055,311,1741,1017,621,271,110470.7983,2255,0,2255,592,1663,5975,662,5313,655,161,494,975,0,975
609206,3928,2769,2554,215,1159,3361,141,873,1225,822,263,141669.6763,1639,92,1547,403,1236,4829,250,4579,586,100,486,605,0,605
609207,3760,2827,2470,357,933,3013,45,517,1152,420,840,109875.7601,1685,240,1445,420,1265,4520,98,4422,318,32,286,482,0,482
610300,2210,1230,1056,174,980,1283,232,297,230,156,262,83112.36559,1075,25,1050,65,1010,2201,82,2119,375,35,340,427,0,427
610400,3981,2040,1872,168,1941,3328,694,1614,793,147,40,67001.68067,1243,21,1222,77,1166,3558,470,3088,422,0,422,295,0,295
610500,5287,3608,3498,110,1679,4316,915,1191,1444,663,89,106910.9911,2213,52,2161,348,1865,7059,657,6402,654,107,547,940,0,940
610600,1246,693,648,45,553,1137,177,270,362,219,105,73102.31481,743,18,725,161,582,1177,52,1125,221,15,206,305,0,305
610800,2129,1414,1328,86,715,1711,407,637,352,264,45,92180.033,1015,41,974,198,817,2777,207,2570,314,19,295,460,53,407
610900,2788,1877,1758,103,911,2594,126,958,631,596,195,121281.4867,1493,91,1402,463,1030,3229,359,2870,557,46,511,677,0,677
611000,4707,2957,2775,182,1750,3838,450,1883,1042,300,143,91937.36474,2262,26,2236,515,1747,6432,546,5886,897,312,585,735,0,735
611100,2315,1509,1406,103,806,2110,68,817,798,339,59,105708.9362,1240,24,1216,322,918,2986,392,2594,575,222,353,542,0,542
611200,3677,2589,2453,133,1088,3059,143,1091,662,842,250,142040.1891,1646,37,1609,442,1204,4410,170,4240,543,12,531,584,0,584
611300,3683,2206,2122,84,1477,3189,357,1154,944,564,124,108915.2607,1485,47,1438,446,1039,4095,194,3901,595,84,511,695,0,695
611400,3615,2465,2236,229,1150,2988,164,1350,858,433,141,131795.9413,1542,16,1526,391,1151,4291,208,4083,602,15,587,549,0,549
611500,4198,2395,2276,119,1803,3655,313,1275,1275,580,160,124256.8908,1664,39,1625,491,1173,4100,233,3867,417,89,328,1006,48,958
611600,3545,2477,2142,335,1068,2880,336,1027,801,599,100,86399.50062,2093,74,2019,220,1873,4020,410,3610,804,105,699,587,0,587
611700,2294,1669,1539,130,625,1968,87,713,737,248,138,105098.6595,1052,27,1025,311,741,2945,182,2763,472,102,370,349,0,349
